"Index","Sentence","Mention","Mention Head","Head POS","Label->Gov"
"17:2/3","= = Death = = On January 1 , 1960 , at about 5:30 p. m. , Sullavan was found in bed , barely alive and unconscious , in a hotel room in New Haven , <a>XXXX</a> .","Connecticut","Connecticut","NNP","appos -> Haven"
"18:0/2","In October 2005 , <a>XXXX</a> answered 15 questions submitted by readers .","Watterson","Watterson","NNP","nsubj -> answered"
"18:1/2","In October 2005 , Watterson answered <a>XXXX</a> .","15 questions submitted by readers","questions","NNS","dobj -> answered"
"19:0/2","In 1924 , <a>XXXX</a> participated in an international convention in Hastings and St Leonards-on-Sea organized by Princess Karadja , founder of the White Cross Union .","she","she","PRP","nsubj -> participated"
"19:1/2","In 1924 , she participated in an international convention in Hastings and St Leonards-on-Sea organized by Princess Karadja , <a>XXXX</a> .","founder of the White Cross Union","founder","NN","appos -> Karadja"
"20:0/4","<a>XXXX</a> was loaned out to Crusaders midway through the 96-97 season , and scored his only goal for the club in the 1996 -- 97 Irish League Cup Final against Glentoran , in a game which finished 1-0 .","Padraig","Padraig","NNP","nsubjpass -> loaned"
"20:1/4","Padraig was loaned out to Crusaders <a>XXXX</a> through the 96-97 season , and scored his only goal for the club in the 1996 -- 97 Irish League Cup Final against Glentoran , in a game which finished 1-0 .","midway","midway","NN","dobj -> loaned"
"20:2/4","Padraig was loaned out to Crusaders midway through the 96-97 season , and scored <a>XXXX</a> in the 1996 -- 97 Irish League Cup Final against Glentoran , in a game which finished 1-0 .","his only goal for the club","goal","NN","dobj -> scored"
"20:3/4","Padraig was loaned out to Crusaders midway through the 96-97 season , and scored his only goal for the club in the 1996 -- 97 Irish League Cup Final against Glentoran , <a>XXXX</a> finished 1-0 .","in a game which","game","NN","nsubj -> finished"
"21:0/5","<a>XXXX</a> also won in five of the ten categories at the 2001 Metro Music Awards : Best Kwaito Artist , Best Male Vocalist , Best Album , Best Styled Artist and Song Of The Year .","Mandoza","Mandoza","NNP","nsubj -> won"
"21:1/5","Mandoza also won in five of the ten categories at the 2001 Metro Music Awards : Best Kwaito Artist , Best Male Vocalist , Best Album , Best Styled Artist and <a>XXXX</a> Of The Year .","Song","Song","NN","appos -> Artist"
"21:2/5","Mandoza also won in five of the ten categories at the 2001 Metro Music Awards : Best Kwaito Artist , <a>XXXX</a> , Best Album , Best Styled Artist and Song Of The Year .","Best Male Vocalist","Vocalist","NN","appos -> Artist"
"21:3/5","Mandoza also won in five of the ten categories at the 2001 Metro Music Awards : Best Kwaito Artist , Best Male Vocalist , <a>XXXX</a> , Best Styled Artist and Song Of The Year .","Best Album","Album","NN","appos -> Artist"
"21:4/5","Mandoza also won in five of the ten categories at the 2001 Metro Music Awards : Best Kwaito Artist , Best Male Vocalist , Best Album , <a>XXXX</a> .","Best Styled Artist and Song Of The Year","Artist","NNP","appos -> Artist"
"22:0/3","<a>XXXX</a> took an active part in planning and preliminary negotiations for the Round Table Talks in 1989 , in which he also participated .","He","He","PRP","nsubj -> took"
"22:1/3","He took <a>XXXX</a> in planning and preliminary negotiations for the Round Table Talks in 1989 , in which he also participated .","an active part","part","NN","dobj -> took"
"22:2/3","He took an active part in planning and preliminary negotiations for the Round Table Talks in 1989 , in which <a>XXXX</a> also participated .","he","he","PRP","nsubj -> participated"
"23:0/1","<a>XXXX</a> was sent with a fourth round draft pick in 2010 in exchange for defenceman Mike Van Ryn .","He","He","PRP","nsubjpass -> sent"
"24:0/2","<a>XXXX</a> is a Norwegian former footballer who played as a midfielder .","Trond Egil Soltvedt -LRB- born 15 February 1967 -RRB-","Soltvedt","NNP","nsubj -> footballer"
"24:1/2","<a>XXXX</a>","Trond Egil Soltvedt -LRB- born 15 February 1967 -RRB- is a Norwegian former footballer who played as a midfielder .","footballer","NN","nsubj -> played"
"25:0/4","6 days later , <a>XXXX</a> received her 13th consecutive award of Penyanyi Wanita Paling Popular 2009 -LRB- Most Popular Female Singer 2009 -RRB- and the overall category award , Bintang Paling Popular 2009 -LRB- Most Popular Artist of 2009 -RRB- from Anugerah Bintang Popular Bintang Harian 2009 with votes from over 225 300 votes from the readers of Berita Harian .","she","she","PRP","nsubj -> received"
"25:1/4","6 days later , she received <a>XXXX</a> from the readers of Berita Harian .","her 13th consecutive award of Penyanyi Wanita Paling Popular 2009 -LRB- Most Popular Female Singer 2009 -RRB- and the overall category award , Bintang Paling Popular 2009 -LRB- Most Popular Artist of 2009 -RRB- from Anugerah Bintang Popular Bintang Harian 2009 with votes from over 225 300 votes","award","NN","dobj -> received"
"25:2/4","6 days later , she received her 13th consecutive award of Penyanyi Wanita Paling Popular 2009 <a>XXXX</a> and the overall category award , Bintang Paling Popular 2009 -LRB- Most Popular Artist of 2009 -RRB- from Anugerah Bintang Popular Bintang Harian 2009 with votes from over 225 300 votes from the readers of Berita Harian .","-LRB- Most Popular Female Singer 2009 -RRB-","Singer","NNP","appos -> Popular"
"25:3/4","6 days later , she received her 13th consecutive award of Penyanyi Wanita Paling Popular 2009 -LRB- Most Popular Female Singer 2009 -RRB- and the overall category award , <a>XXXX</a> .","Bintang Paling Popular 2009 -LRB- Most Popular Artist of 2009 -RRB- from Anugerah Bintang Popular Bintang Harian 2009 with votes from over 225 300 votes from the readers of Berita Harian","Bintang","NNP","appos -> award"
"26:0/2","On October 16 , 1977 , <a>XXXX</a> scored his lone national team goal in a 2-1 victory over China .","he","he","PRP","nsubj -> scored"
"26:1/2","On October 16 , 1977 , he scored <a>XXXX</a> in a 2-1 victory over China .","his lone national team goal","goal","NN","dobj -> scored"
"27:0/1","In 1981 , <a>XXXX</a> was nominated for a Juno Award in the category of Most Promising Female Vocalist of the Year , but lost to Carole Pope .","Heatherington","Heatherington","NNP","nsubjpass -> nominated"
"28:0/3","By the end of the 1903 season <a>XXXX</a> ranked among the NL 's top ten career leaders in hits and at bat s , though he would drop from among the leaders before his playing career ended .","he","he","PRP","nsubj -> ranked"
"28:1/3","By the end of the 1903 season he ranked among the NL 's top ten career leaders in hits and at bat s , though <a>XXXX</a> would drop from among the leaders before his playing career ended .","he","he","PRP","nsubj -> drop"
"28:2/3","By the end of the 1903 season he ranked among the NL 's top ten career leaders in hits and at bat s , though he would drop from among the leaders before <a>XXXX</a> ended .","his playing career","career","NN","nsubj -> ended"
"29:0/2","On 13 February 2008 <a>XXXX</a> was announced that he would go on loan to Swiss side FC Sion until 31 December 2008 .","it","it","PRP","nsubjpass -> announced"
"29:1/2","On 13 February 2008 it was announced that <a>XXXX</a> would go on loan to Swiss side FC Sion until 31 December 2008 .","he","he","PRP","nsubj -> go"
"30:0/5","<a>XXXX</a> concentrated on his constituency work and was returned in every election he stood until he retired in 1981 , his son Dick then successfully contesting the seat .","Spring","Spring","NN","nsubj -> concentrated"
"30:1/5","Spring concentrated on his constituency work and was returned in every election <a>XXXX</a> stood until he retired in 1981 , his son Dick then successfully contesting the seat .","he","he","PRP","nsubj -> stood"
"30:2/5","Spring concentrated on his constituency work and was returned in every election he stood until <a>XXXX</a> retired in 1981 , his son Dick then successfully contesting the seat .","he","he","PRP","nsubj -> retired"
"30:3/5","Spring concentrated on his constituency work and was returned in every election he stood until he retired in 1981 , his son <a>XXXX</a> then successfully contesting the seat .","Dick","Dick","NNP","nsubj -> contesting"
"30:4/5","Spring concentrated on his constituency work and was returned in every election he stood until he retired in 1981 , his son Dick then successfully contesting <a>XXXX</a> .","the seat","seat","NN","dobj -> contesting"
"31:0/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , <a>XXXX</a> criticized the Immigration and Nationality Act of 1965 , which replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia .","he","he","PRP","nsubj -> criticized"
"31:1/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized <a>XXXX</a> .","the Immigration and Nationality Act of 1965 , which replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia","Immigration","NNP","dobj -> criticized"
"31:2/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized the Immigration and <a>XXXX</a> , which replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia .","Nationality Act of 1965","Act","NNP","dobj -> criticized"
"31:3/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized the Immigration and Nationality Act of 1965 , which replaced <a>XXXX</a> largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia .","an immigration system","system","NN","dobj -> replaced"
"31:4/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized <a>XXXX</a> replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia .","the Immigration and Nationality Act of 1965 , which","Immigration","NNP","nsubj -> replaced"
"31:5/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized the Immigration and Nationality Act of 1965 , which replaced an immigration system largely excluding <a>XXXX</a> with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia .","Asians and discriminating against southern and eastern Europeans","Asians","NNPS","dobj -> excluding"
"31:6/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized the Immigration and Nationality Act of 1965 , which replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and family connections to U. S. citizens and permanent residents , which enabled <a>XXXX</a> .","an increase in immigration from Asia","increase","NN","dobj -> enabled"
"31:7/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized the Immigration and Nationality Act of 1965 , which replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based <a>XXXX</a> enabled an increase in immigration from Asia .","on skills and family connections to U. S. citizens and permanent residents , which","skills","NNS","nsubj -> enabled"
"31:8/9","= = On race-neutrality in U. S. immigration policy = = In another article , from 1965 , he criticized the Immigration and Nationality Act of 1965 , which replaced an immigration system largely excluding Asians and discriminating against southern and eastern Europeans with a race-neutral program based on skills and <a>XXXX</a> to U. S. citizens and permanent residents , which enabled an increase in immigration from Asia .","family connections","connections","NNS","nsubj -> enabled"
"32:0/1","<a>XXXX</a> is an Italian politician and statesman .","Romano Prodi -LRB- ; born 9 August 1939 -RRB-","Prodi","NNP","nsubj -> politician"
"33:0/4","In July 2006 , <a>XXXX</a> celebrated their fifth anniversary by flying to Toronto and getting married -LRB- since same-sex marriages are legal there -RRB- .","Vidkid Timo and Philip Eric","Timo","NNP","nsubj -> celebrated"
"33:1/4","In July 2006 , Vidkid Timo and <a>XXXX</a> celebrated their fifth anniversary by flying to Toronto and getting married -LRB- since same-sex marriages are legal there -RRB- .","Philip Eric","Eric","NNP","nsubj -> celebrated"
"33:2/4","In July 2006 , Vidkid Timo and Philip Eric celebrated <a>XXXX</a> by flying to Toronto and getting married -LRB- since same-sex marriages are legal there -RRB- .","their fifth anniversary","anniversary","NN","dobj -> celebrated"
"33:3/4","In July 2006 , Vidkid Timo and Philip Eric celebrated their fifth anniversary by flying to Toronto and getting married -LRB- since <a>XXXX</a> are legal there -RRB- .","same-sex marriages","marriages","NNS","nsubj -> legal"
"34:0/4","In 2000 <a>XXXX</a> moved to the Department of Chemistry and Biochemistry at the University of California , San Diego as the Francis Crick Chair in the Physical Sciences at UCSD and in addition to continuing his work on many body chemical physics , protein folding and structure prediction , he is also studying stochastic aspects of cell biology .","he","he","PRP","nsubj -> moved"
"34:1/4","In 2000 he moved to the Department of Chemistry and Biochemistry at the University of California , San Diego as the Francis Crick Chair in the Physical Sciences at UCSD and in addition to continuing <a>XXXX</a> , he is also studying stochastic aspects of cell biology .","his work on many body chemical physics , protein folding and structure prediction","work","NN","dobj -> continuing"
"34:2/4","In 2000 he moved to the Department of Chemistry and Biochemistry at the University of California , San Diego as the Francis Crick Chair in the Physical Sciences at UCSD and in addition to continuing his work on many body chemical physics , protein folding and structure prediction , <a>XXXX</a> is also studying stochastic aspects of cell biology .","he","he","PRP","nsubj -> studying"
"34:3/4","In 2000 he moved to the Department of Chemistry and Biochemistry at the University of California , San Diego as the Francis Crick Chair in the Physical Sciences at UCSD and in addition to continuing his work on many body chemical physics , protein folding and structure prediction , he is also studying <a>XXXX</a> .","stochastic aspects of cell biology","aspects","NNS","dobj -> studying"
"35:0/2","<a>XXXX</a> graduated in June 1964 , Cum Laude , with a Bachelor of Music Degree , majoring in music theory , and with a minor in oboe .","He","He","PRP","nsubj -> graduated"
"35:1/2","He graduated in June 1964 , <a>XXXX</a> , with a Bachelor of Music Degree , majoring in music theory , and with a minor in oboe .","Cum Laude","Laude","NNP","appos -> June"
"36:0/2","= = = <a>XXXX</a> signed a one-year deal with the New York Giants on May 10 , 2013 .","New York Giants = = = Curry","Curry","NNP","nsubj -> signed"
"36:1/2","= = = New York Giants = = = Curry signed <a>XXXX</a> on May 10 , 2013 .","a one-year deal with the New York Giants","deal","NN","dobj -> signed"
"37:0/2","= = <a>XXXX</a> = = Jonas worked as a radio producer in Budapest before escaping after the 1956 Hungarian Revolution .","Career","Career","NNP","nsubj -> worked"
"37:1/2","= = Career = = <a>XXXX</a> worked as a radio producer in Budapest before escaping after the 1956 Hungarian Revolution .","Jonas","Jonas","NNP","nsubj -> worked"
"38:0/2","= = <a>XXXX</a> was a contestant in World Wrestling Entertainment 's 2005 Diva Search , finishing second out of 8,000 contestants worldwide .","Wrestling = = Milani","Milani","NNP","nsubj -> contestant"
"38:1/2","= = Wrestling = = Milani was a contestant in World Wrestling Entertainment 's <a>XXXX</a> Search , finishing second out of 8,000 contestants worldwide .","2005 Diva","Diva","NNP","nsubj -> Search"
"39:0/1","In 1938 , <a>XXXX</a> also released .","she","she","PRP","nsubj -> released"
"40:0/4","<a>XXXX</a> did not receive very much ice time in Boston and consequently the Bruins ended up trading him to the Winnipeg Jets for Morris Lukowich on February 4 , 1985 .","He","He","PRP","nsubj -> receive"
"40:1/4","He did not receive <a>XXXX</a> and consequently the Bruins ended up trading him to the Winnipeg Jets for Morris Lukowich on February 4 , 1985 .","very much ice time in Boston","time","NN","dobj -> receive"
"40:2/4","He did not receive very much ice time in Boston and consequently <a>XXXX</a> ended up trading him to the Winnipeg Jets for Morris Lukowich on February 4 , 1985 .","the Bruins","Bruins","NNS","nsubj -> ended"
"40:3/4","He did not receive very much ice time in Boston and consequently the Bruins ended up trading <a>XXXX</a> to the Winnipeg Jets for Morris Lukowich on February 4 , 1985 .","him","him","PRP","dobj -> trading"
"41:0/3","For example , the 1958 book The Soviet School of Chess -LRB- which <a>XXXX</a> co-wrote with Mikhail Yudovich -RRB- stated that '' The rise of the Soviet school to the summit of world chess is a logical result of socialist cultural development . ''","he","he","PRP","nsubj -> co-wrote"
"41:1/3","For example , <a>XXXX</a> stated that '' The rise of the Soviet school to the summit of world chess is a logical result of socialist cultural development . ''","the 1958 book The Soviet School of Chess -LRB- which he co-wrote with Mikhail Yudovich -RRB-","book","NN","nsubj -> stated"
"41:2/3","For example , the 1958 book The Soviet School of Chess -LRB- which he co-wrote with Mikhail Yudovich -RRB- stated <a>XXXX</a> is a logical result of socialist cultural development . ''","that '' The rise of the Soviet school to the summit of world chess","rise","NN","nsubj -> result"
"42:0/1","<a>XXXX</a> -LRB- born March 5 , 1986 -RRB- is an American television and film actor and screenwriter .","Jason Fuchs","Fuchs","NNP","nsubj -> television"
"43:0/1","<a>XXXX</a> died in 1989 at the age of 18 from asphyxiation .","His son Eli , also from his first marriage ,","son","NN","nsubj -> died"
"44:0/3","In early 1969 , <a>XXXX</a> was back in Columbia Studios to record '' The Don Ellis Band Goes Underground '' , a collection of several pop songs -LRB- arranged by Ellis -RRB- and some Ellis originals .","the Orchestra","Orchestra","NNP","nsubj -> record"
"44:1/3","In early 1969 , the Orchestra was back in Columbia Studios to record '' <a>XXXX</a> Goes Underground '' , a collection of several pop songs -LRB- arranged by Ellis -RRB- and some Ellis originals .","The Don Ellis Band","Band","NNP","nsubj -> Goes"
"44:2/3","In early 1969 , the Orchestra was back in Columbia Studios to record '' The Don Ellis Band Goes Underground '' , <a>XXXX</a> .","a collection of several pop songs -LRB- arranged by Ellis -RRB- and some Ellis originals","collection","NN","appos -> Underground"
"45:0/1","In 2003 , <a>XXXX</a> received from USA Today a Rudy Award as the Best New Face in Sports Television .","she","she","PRP","nsubj -> received"
"46:0/1","In 1974 , the inaugural year of The Players Championship , <a>XXXX</a> finished in 9th place .","Pearce","Pearce","NNP","nsubj -> finished"
"47:0/3","In 1872 , at a convention of the New England Labor Reform League in Boston , <a>XXXX</a> introduced Greene and Warren to eventual Liberty publisher Benjamin Tucker .","Heywood","Heywood","NNP","nsubj -> introduced"
"47:1/3","In 1872 , at a convention of the New England Labor Reform League in Boston , Heywood introduced <a>XXXX</a> to eventual Liberty publisher Benjamin Tucker .","Greene and Warren","Greene","NNP","dobj -> introduced"
"47:2/3","In 1872 , at a convention of the New England Labor Reform League in Boston , Heywood introduced Greene and <a>XXXX</a> to eventual Liberty publisher Benjamin Tucker .","Warren","Warren","NNP","dobj -> introduced"
"48:0/6","<a>XXXX</a> appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , five young Australian actors who are shaping up to be Hollywood 's Next Big Things ... She recently wrapped the lead in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title .","Bianca Chiminello","Chiminello","NNP","nsubj -> appeared"
"48:1/6","Bianca Chiminello appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , <a>XXXX</a> .","five young Australian actors who are shaping up to be Hollywood 's Next Big Things ... She recently wrapped the lead in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title","actors","NNS","appos -> Crop"
"48:2/6","Bianca Chiminello appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , five young Australian actors who are shaping up <a>XXXX</a> .","to be Hollywood 's Next Big Things ... She recently wrapped the lead in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title","Things","NNS","dobj -> shaping"
"48:3/6","Bianca Chiminello appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , <a>XXXX</a> are shaping up to be Hollywood 's Next Big Things ... She recently wrapped the lead in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title .","five young Australian actors who","actors","NNS","nsubj -> shaping"
"48:4/6","Bianca Chiminello appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , five young Australian actors who are shaping up to be Hollywood 's Next Big Things ... <a>XXXX</a> recently wrapped the lead in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title .","She","She","PRP","nsubj -> wrapped"
