"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Label->Gov"
"25","0/1","Jay DeMerit sat in the eye doctor 's office as a machine mapped the topography of his right cornea , the dome-shaped surface that covers <a>XXXX</a> , and helps to focus vision .","the iris and pupil","iris","dobj -> covers"
"26","0/1","A digital printout resembled <a>XXXX</a> and dissipating reds .","a weather map with its yellows and greens","map","dobj -> resembled"
"27","0/1","The federal government has $ 1.6 billion in reserve to help mitigate <a>XXXX</a> , generated by a tax on oil for use in cases like the Deepwater Horizon spill .","the expanding damage on the Gulf Coast","damage","dobj -> mitigate"
"28","0/1","The federal government has $ 1.6 billion in reserve to help mitigate <a>XXXX</a> , generated by a tax on oil for use in cases like the Deepwater Horizon spill .","the expanding damage on the Gulf Coast","damage","dobj -> mitigate"
"29","0/1","Jay DeMerit , <a>XXXX</a> , worried that he might not be able to play in the World Cup .","a central defender with the United States soccer team","defender","appos -> DeMerit"
"30","0/1","Or that <a>XXXX</a> might have to retire from soccer altogether .","he","he","nsubj -> have"
"31","0/1","In the wealthy , northern suburbs of this city , where summer temperatures often hit the high 90s , <a>XXXX</a> checked the box on their tax returns admitting that they owned swimming pools .","just 324 residents","residents","nsubj -> checked"
"32","0/1","Hundreds of black-clad youths rioted here Saturday , throwing <a>XXXX</a> at police and igniting trash bins to vent their rage at tough new government austerity measures aimed at securing aid and avoiding a debt default .","Molotov cocktails","cocktails","dobj -> throwing"
"33","0/1","President Barack Obama , warning of a `` potential corporate takeover of our elections , '' called on Congress on Saturday to undo the effects of a recent Supreme Court ruling by imposing strict disclosure requirements on campaign spending by companies , labor unions , trade associations and <a>XXXX</a> .","advocacy groups","groups","appos -> Obama"
"34","0/1","It is an obvious move when <a>XXXX</a> decide to step aside in favor of civilian rule : shed military ranks and uniforms and transform themselves into civilians .","generals in a military junta","generals","nsubj -> step"
"35","0/1","It is an obvious move when <a>XXXX</a> decide to step aside in favor of civilian rule : shed military ranks and uniforms and transform themselves into civilians .","generals in a military junta","generals","nsubj -> decide"
"37","0/1","The Mexican government just issued a travel advisory warning Mexicans about going to Arizona -- where <a>XXXX</a> could get arrested by the police for no reason -- and the U.S. government just issued a travel advisory warning Americans about going to northern Mexico -- where they could get shot by drug dealers for no reason .","they","they","nsubjpass -> arrested"
"38","0/1","Meanwhile , <a>XXXX</a> is expected to open 300 new stores in Mexico this year , thanks to growing Mexican demand for consumer goods .","Wal-Mart de Mexico","Mexico","nsubj -> open"
"43","0/1","Every Friday , <a>XXXX</a> gathers in a campus studio for a session of vinyasa yoga .","the University of Denver lacrosse team","University","nsubj -> gathers"
"44","0/1","To stay healthy and limber , <a>XXXX</a> twist their bodies into a series of poses like pigeon , downward dog and eagle .","the players","players","nsubj -> twist"
"45","0/1","When the regent of this coastal rice-growing region on the island of Java first toured <a>XXXX</a> as part of an official delegation , his eyes went wide .","China","China","dobj -> toured"
"46","0/1","Here was the future , <a>XXXX</a> thought : skyscrapers and humming factories and grand highways .","he","he","nsubj -> thought"
"47","0/1","In another blow to Prime Minister Gordon Brown 's faltering Labour government , The Guardian on Saturday unexpectedly endorsed <a>XXXX</a> in next week 's general election .","the Liberal Democrats","Democrats","dobj -> endorsed"
"48","0/1","The surprising spectacle of Tiger Woods missing the cut at the Quail Hollow Championship -- shooting 79 on Friday by three-putting twice , four-putting once , hitting <a>XXXX</a> , stringing together three straight bogeys and back-to-back doubles -- showed how quickly things can change in golf .","only two fairways","fairways","dobj -> hitting"
"49","0/1","The last time Rod Barajas stepped to the plate as a Philadelphia Phillie , he was instrumental in furthering <a>XXXX</a> .","the downfall of the 2007 Mets","downfall","dobj -> furthering"
"50","0/1","He delivered a two-out pinch-hit single that drove home <a>XXXX</a> run in the 14th inning of a 7-4 Phillies victory in St. Louis on Sept. 18 of that memorable month .","the go-ahead","go-ahead","nsubj -> run"
"51","0/1","Jesus was n't known for pontificating from palaces , covering up <a>XXXX</a> , or issuing Paleolithic edicts on social issues .","scandals","scandals","dobj -> covering"
"52","0/1","Does anyone think he would have protected <a>XXXX</a> ?","clergymen who raped children","clergymen","dobj -> protected"
"53","0/1","In naming two economists and <a>XXXX</a> , President Barack Obama and his top economic advisers are preparing the central bank for a new emphasis on the supervision of financial institutions .","a lawyer to serve as governors of the Federal Reserve","lawyer","dobj -> naming"
"54","0/1","Every Kentucky Derby is different , by definition : No horse wins <a>XXXX</a> twice .","it","it","dobj -> wins"
"55","0/1","Then there are <a>XXXX</a> .","the charming details of that day","details","nsubj -> are"
"56","0/1","<a>XXXX</a> is the history of the environmental movement .","The history of American oil spills","history","nsubj -> history"
"58","0/1","Twenty years later , <a>XXXX</a> quashed the first Bush administration 's ambitions for drilling in the Arctic National Wildlife Refuge , and ushered in the laws that made oil shippers liable for damage caused by their cargo .","the spill from the Exxon Valdez tanker near Alaska","spill","nsubj -> ushered"
"60","0/1","On Thursday , as the scent of fuel hovered over New Orleans , <a>XXXX</a> , because they might not be able to again for a while .","residents joked online that they should eat fish now","residents","dobj -> hovered"
"61","0/1","<a>XXXX</a> told me this looked like a `` game changer , '' and he was thinking about finding another line of work .","One longtime offshore oil worker","worker","nsubj -> told"
"62","0/1","Demonstrators gathered Saturday for dozens of protests across the country , hoping anger over a tough anti-illegal immigration law in Arizona would add <a>XXXX</a> to their call for Congress to act on an immigration overhaul .","momentum","momentum","dobj -> add"
"63","0/1","A 58-year-old American man forced a China Airlines jet to divert a flight to Shanghai on Saturday morning after he told <a>XXXX</a> that he had a bomb in his luggage , news agencies reported .","a flight attendant","attendant","nsubj -> reported"
"64","0/1","In the movies , a president confronted with a massive oil spill would dispense with politics , go after his own crooked industry contributors for paying off regulators and ban future offshore drilling , <a>XXXX</a> be damned .","cost","cost","nsubj -> damned"
"65","0/1","<a>XXXX</a> might even fly down to personally shut off the leak .","He","He","nsubj -> shut"
"66","0/1","Typically , <a>XXXX</a> are immature exercises in name-calling in front of baying rows of overstimulated legislators in the weekly contest known as prime minister 's questions .","encounters between British prime ministers and their political enemies here","encounters","nsubj -> exercises"
"67","0/1","You can hardly blame <a>XXXX</a> for trumpeting the killing of the two leaders of al-Qaida in Iraq last month as a lethal blow to the local terrorist franchise .","Iraq 's beleaguered prime minister , Nouri al-Maliki ,","minister","dobj -> blame"
"68","0/1","You can hardly blame <a>XXXX</a> for trumpeting the killing of the two leaders of al-Qaida in Iraq last month as a lethal blow to the local terrorist franchise .","Iraq 's beleaguered prime minister , Nouri al-Maliki ,","minister","dobj -> blame"
"69","0/1","Tens of thousands of demonstrators took to the streets across Greece on Saturday , including hundreds of black-clad youths who clashed with police here , as Greeks vented their rage at tough new government austerity measures aimed at securing aid and avoiding <a>XXXX</a> .","a debt default","default","dobj -> avoiding"
"70","0/1","Only six of the 32 oyster beds on the east side of the Mississippi River have been closed , and the oil is still 70 orFUELED Demonstrators gathered Saturday for dozens of protests across the country , hoping <a>XXXX</a> would add momentum to their call for Congress to act on an immigration overhaul .","anger over a tough anti-illegal immigration law in Arizona","anger","nsubj -> add"
"71","0/1","Large May Day rallies were called in Los Angeles , Phoenix , Dallas , Milwaukee , Chicago and Washington , <a>XXXX</a> , with smaller events planned in about 70 places around the country .","D.C.","D.C.","appos -> Dallas"
"72","0/1","Organizers predicted the reaction to the Arizona law would increase the numbers of protesters turning out to vent <a>XXXX</a> with Washington for the lack of progress on immigration legislation .","frustration","frustration","dobj -> vent"
"73","0/1","<a>XXXX</a> again endorsed staging indirect talks between Palestinians and Israelis , formally resurrecting an American proposal that collapsed last month after Israel announced plans to build new housing in East Jerusalem .","Arab ministers on Saturday","ministers","nsubj -> endorsed"
"74","0/1","<a>XXXX</a> has the `` Come and Take It '' cannon carved into his boots .","He","He","nsubj -> has"
"75","0/1","<a>XXXX</a> stuffs a laser-sighted pistol into his jogging pants .","He","He","nsubj -> stuffs"
"76","0/1","Billy Mayfair defied conventional wisdom by holding onto the lead after the third round of the Quail Hollow Championship on Saturday , hunting and pecking <a>XXXX</a> at Quail Hollow Club .","his way around the brawny course","way","dobj -> pecking"
"77","0/1","On a day of evil weather , <a>XXXX</a> finally came out for Todd Pletcher .","the sun","sun","nsubj -> came"
"78","0/1","India 's Roman Catholic bishops are planning to institute a policy of reporting all abuse allegations against priests to the police for criminal investigations , rather than just handling <a>XXXX</a> internally , a church spokesman said .","the cases","cases","dobj -> handling"
"79","0/1","On the first Saturday in May 2000 , <a>XXXX</a> was a kid trainer graying prematurely and making his Kentucky Derby debut with a quartet of horses culled from what already was a deep and powerful barn .","Todd Pletcher","Pletcher","nsubj -> trainer"
"80","0/1","He was the picture of efficiency as he moved from paddock to paddock putting <a>XXXX</a> on his contenders .","the saddle","saddle","dobj -> putting"
"81","0/1","In protests fueled by anger over a tough anti-illegal immigrant law in Arizona , tens of thousands of demonstrators joined marches and rallies Saturday in cities across the country , calling on Congress to pass <a>XXXX</a> .","an immigration overhaul","overhaul","dobj -> pass"
"82","0/1","Violence broke out in two North Caucasian republics on Saturday , as <a>XXXX</a> attacked gatherings on May Day , a revered Soviet holiday that still draws flocks of Russians to public celebrations .","militants","militants","nsubj -> attacked"
"83","0/1","For America the long nightmare in Iraq draws ever closer to an end , with the Pentagon holding , so far , to a schedule that calls for <a>XXXX</a> to be withdrawn by the end of next year .","all United States troops","troops","nsubjpass -> withdrawn"
"85","0/1","<a>XXXX</a> joined the crowds heading into an Edward Hopper show at the Fondazione Roma the other morning .","I","I","nsubj -> joined"
"86","0/1","Organized in collaboration with the Whitney Museum of American Art in New York -LRB- all the works come from there -RRB- , <a>XXXX</a> has been a hit here .","the exhibition","exhibition","nsubjpass -> hit"
"87","0/1","In a country with what often seems like the most refined taste in the world and no taste at all , it owes <a>XXXX</a> to a cheesy full-scale reconstruction of the `` Nighthawks '' diner in the first gallery .","something","something","dobj -> owes"
"88","0/1","<a>XXXX</a> snap pictures of themselves posing beside fedora-clad mannequins slumped stiffly over the counter .","Visitors","Visitors","nsubj -> snap"
"89","0/1","There 's another , better gimmick too : a room with pencils and stacks of white paper , where <a>XXXX</a> copy Hopper 's drawings .","doodlers","doodlers","nsubj -> copy"
"90","0/1","Reproductions are projected onto the stacks , <a>XXXX</a> can be easily traced , and people labor over their tracings , then tote them around the show like diplomas .","so lines","lines","nsubjpass -> traced"
"91","0/1","-LRB- By people , of course , I mean <a>XXXX</a> . -RRB-","me","me","dobj -> mean"
"92","0/1","Given that German blood flows through the veins of British royalty , <a>XXXX</a> is perhaps fitting that the most blue-blooded of English motorcar companies , Rolls-Royce , has produced an offspring that carries a healthy dose of Bavarian DNA .","it","it","nsubj -> fitting"
"93","0/1","<a>XXXX</a> should be all about parenthood , right ?","A movie called `` Mother and Child ''","movie","nsubj -> all"
"94","0/1","In a boisterous but peaceful display , <a>XXXX</a> marched through downtown Los Angeles on Saturday to support immigrant rights and decry Arizona 's new anti-illegal-immigration law .","tens of thousands of people","tens","nsubj -> marched"
"95","0/1","On Saturday , thousands marched in downtown L.A. and many other cities to protest the nation 's first substantive anti-illegal-immigrant law , <a>XXXX</a> .","Arizona 's SB 1070","Arizona","appos -> law"
"97","0/1","Pope Benedict XVI on Saturday took control of the Legionaries of Christ , a powerful and wealthy Roman Catholic religious order whose founder , a close friend of Pope John Paul II , was found to have molested seminarians and fathered <a>XXXX</a> .","several children","children","dobj -> fathered"
"98","0/1","<a>XXXX</a> took control of the Legionaries of Christ , a powerful and wealthy Roman Catholic religious order whose founder , a close friend of Pope John Paul II , was found to have molested seminarians and fathered several children .","Pope Benedict XVI on Saturday","XVI","nsubj -> took"
"99","0/1","President Barack Obama on Saturday directly confronted the sharpening political rancor in Washington , on the airwaves and on the Internet , telling <a>XXXX</a> at the University of Michigan that the country needs a `` basic level of civility in our public discourse . ''","the graduating class","class","dobj -> telling"
"100","0/1","<a>XXXX</a> endured more bad news on Saturday , when the latest polls showed it had lost ground to the Conservative opposition with less than a week to go before Thursday 's general election .","Prime Minister Gordon Brown 's faltering Labour government","government","nsubj -> endured"
"101","0/1","President Barack Obama on Saturday directly confronted <a>XXXX</a> , on the airwaves and on the Internet , telling the graduating class at the University of Michigan that the country needs a `` basic level of civility in our public discourse . ''","the sharpening political rancor in Washington","rancor","dobj -> confronted"
"103","0/1","Because <a>XXXX</a> is doing it anyway , let 's hurry up to the moment when Tim Tebow is the Denver Broncos ' starting quarterback .","everybody except Kyle Orton and Brady Quinn","everybody","nsubj -> doing"
"104","0/1","A suspicious vehicle in the heart of Times Square led <a>XXXX</a> to clear thousands of tourists and theatergoers from the area on a warm and busy Saturday evening .","the police","police","dobj -> led"
"105","0/1","For months , Floyd Mayweather Jr. proved himself a man without a mute button , a boxer and <a>XXXX</a> liked to fight and talk at the same time .","a boaster who","boaster","nsubj -> liked"
"107","0/1","The Indian Premier League , a 20-team tournament here that turns staid cricket into something fast-paced and glamorous , just ended <a>XXXX</a> with a new champion , the Chennai Super Kings , and a new scandal revolving around allegations of financial fraud .","its third season","season","dobj -> ended"
"108","0/1","Ending a long silence , <a>XXXX</a> addressed his possible extradition to the United States over a 33-year-old sex-crime case with a statement that accused authorities here of `` trying to serve me on a platter to the media of the world , '' instead of honoring what he described as an agreement , made decades ago , to limit his punishment to time already served .","Roman Polanski","Polanski","nsubj -> addressed"
"109","0/1","In a general election as impossible to predict as the one here on Thursday , with many constituencies in the balance and a large chance of a hung Parliament , any pressing issue may swing <a>XXXX</a> .","the vote of the undecided","vote","dobj -> swing"
"110","0/1","<a>XXXX</a> said at the end of a phone conversation last week .","a notably chipper Oliver Stone","Stone","nsubj -> said"
"111","0/1","Stone will be in Cochabamba , in central Bolivia , on June 1 to screen his documentary `` South of the Border '' for an outdoor crowd that is expected to include <a>XXXX</a> being gathered by Bolivia 's president , Evo Morales .","thousands of indigenous people","thousands","nsubjpass -> gathered"
"112","0/1","With all due respect to the composer Jake Heggie , whose new opera , `` Moby-Dick , '' opened in a blaze of glory at the Margot and Bill Winspear Opera House here on Friday night , <a>XXXX</a> might actually have been the most uncomplicated part of the undertaking .","his contribution","contribution","nsubj -> part"
"113","0/1","Not to suggest that concocting <a>XXXX</a> and vividly atmospheric orchestration was a simple matter ; presumably it was not .","three hours of lively , comfortable vocal music","hours","dobj -> concocting"
"114","0/1","<a>XXXX</a> brought his customary facility to the work , which was commissioned by the Dallas Opera and four other companies .","Heggie","Heggie","nsubj -> brought"
"115","0/1","<a>XXXX</a> was 3 a.m. and the three young men in devil costumes with faces painted black and white danced wildly and cackled wickedly in a church basement in Queens .","It","It","nsubj -> a.m."
"116","0/1","One of the dancers later said what everyone who watched them seemed to understand : that <a>XXXX</a> were embodying the tough new immigration law in Arizona .","they","they","nsubj -> embodying"
"117","0/1","<a>XXXX</a> was 3 a.m. and the three young men in devil costumes with faces painted black and white danced wildly and cackled wickedly in a church basement in Queens .","It","It","nsubj -> a.m."
"118","0/1","One of the dancers later said what everyone who watched them seemed to understand : that <a>XXXX</a> were embodying the tough new immigration law in Arizona .","they","they","nsubj -> embodying"
"119","0/1","Ending a long silence , Roman Polanski addressed his possible extradition to the United States over a 33-year-old sex-crime case with a statement that accused authorities here of `` trying to serve me on a platter to the media of the world , '' instead of honoring what <a>XXXX</a> described as an agreement , made decades ago , to limit his punishment to time already served .","he","he","nsubj -> described"
"120","0/1","As President Barack Obama traveled to Louisiana on Sunday for a firsthand briefing on the Gulf of Mexico oil spill , federal officials in Washington said they were putting <a>XXXX</a> on drilling a parallel relief well to plug the unabated gusher .","their hopes","hopes","dobj -> putting"
"121","0/1","Seven people were killed Sunday evening when a bus struck <a>XXXX</a> in eastern Afghanistan near the border with Pakistan , the latest casualties in Afghanistan 's rising toll of civilian dead .","a roadside bomb","bomb","dobj -> struck"
"122","0/1","<a>XXXX</a> can mean only one thing : the annual budget hearings are under way .","That droning sound coming from City Hall these days","sound","nsubj -> mean"
"123","0/1","For Jeff Gaspin , handed the task of pulling <a>XXXX</a> out of a long , precipitous slide , the first priority is reality -- as a concept , not a program genre .","NBC 's prime-time schedule","schedule","dobj -> pulling"
"124","0/1","For Jeff Gaspin , handed the task of pulling NBC 's prime-time schedule out of a long , precipitous slide , the first priority is reality -- as a concept , <a>XXXX</a> .","not a program genre","genre","appos -> concept"
"125","0/1","Tens of thousands of Maoist protesters in Nepal began an indefinite nationwide strike Sunday , paralyzing much of the country and demanding <a>XXXX</a> , as a deepening political impasse threatened to unravel the peace process in this Himalayan nation .","the resignation of the prime minister","resignation","dobj -> demanding"
"126","0/1","Carlton Daniels was sweating as <a>XXXX</a> sliced through the jungle with his cutlass .","he","he","nsubj -> sliced"
"127","0/1","He pointed at some bushes and said a chimpanzee named <a>XXXX</a> had once lived there in a cage .","Mr. Muggs","Muggs","nsubj -> lived"
"128","0/1","Then <a>XXXX</a> emerged in a clearing , proclaiming , `` Welcome to the People 's Temple Agricultural Project . ''","he","he","nsubj -> emerged"
"129","0/1","Emboldened by his party 's electoral success , <a>XXXX</a> is intensifying his demands for greater sovereignty and control of oil , adding more complexity to an already tumultuous government formation period .","the president of Iraq 's semiautonomous Kurdistan region","president","nsubj -> intensifying"
"130","0/1","Tens of thousands of Maoist protesters in Nepal began an indefinite nationwide strike Sunday , paralyzing much of the country and demanding the resignation of the prime minister , as <a>XXXX</a> threatened to unravel the peace process in this Himalayan nation .","a deepening political impasse","impasse","nsubj -> unravel"
"131","0/1","About 70 college students , <a>XXXX</a> , were wounded Sunday and another Iraqi was killed when a convoy of school buses was attacked in a double bombing on the outskirts of the northern city of Mosul , according to a security official .","most of them Christians","Christians","appos -> students"
"132","0/1","The Police Department has been planning a high-tech security network for Midtown Manhattan involving surveillance cameras , license plate readers and <a>XXXX</a> , although it was not clear whether it could have prevented the attempted car bombing Saturday night in Times Square .","chemical sensors","sensors","dobj -> involving"
"133","0/1","Greece , effectively bankrupt and with a European gun to its head , committed <a>XXXX</a> to years of austerity on Sunday when it signed a financial bailout deal with the European Union and the International Monetary Fund .","itself","itself","dobj -> committed"
"134","0/1","<a>XXXX</a> was sweating as he sliced through the jungle with his cutlass .","Carlton Daniels","Daniels","nsubj -> sweating"
"135","0/1","<a>XXXX</a> pointed at some bushes and said a chimpanzee named Mr. Muggs had once lived there in a cage .","He","He","nsubj -> pointed"
"136","0/1","Then <a>XXXX</a> emerged in a clearing , proclaiming , `` Welcome to the People 's Temple Agricultural Project . ''","he","he","nsubj -> emerged"
"137","0/1","About 70 college students , <a>XXXX</a> , were wounded Sunday and another Iraqi was killed when a convoy of school buses was attacked in a double bombing on the outskirts of the northern city of Mosul , according to a security official .","most of them Christians","Christians","appos -> students"
"138","0/1","Even in Times Square , where little seems unusual , the Nissan Pathfinder parked just off Broadway on the south side of 45th Street -- engine running , hazard lights flashing , <a>XXXX</a> -- looked suspicious to the sidewalk vendors who regularly work this area .","driver nowhere to be found","driver","appos -> running"
"139","0/1","Even in Times Square , where little seems unusual , the Nissan Pathfinder parked just off Broadway on the south side of 45th Street -- engine running , hazard lights flashing , driver nowhere to be found -- looked suspicious <a>XXXX</a> regularly work this area .","to the sidewalk vendors who","vendors","nsubj -> work"
"140","0/1","If <a>XXXX</a> is to avoid protracted political uncertainty after Thursday 's general election , much may depend on the impact made by David Cameron , the Conservative leader , with a series of lightning raids in the campaign 's last days into the political backyards of his Labour and Liberal Democrat rivals .","Britain","Britain","nsubj -> is"
"141","0/1","Greece , effectively bankrupt , committed <a>XXXX</a> to years of austerity on Sunday when it signed a financial bailout deal with the European Union and the International Monetary Fund .","itself","itself","dobj -> committed"
"142","0/1","On a recent night at City College , <a>XXXX</a> spoke with characteristic eloquence of the national economy and the forgotten poor , and of President Barack Obama and the challenge ahead .","former Gov. Mario M. Cuomo","Cuomo","nsubj -> spoke"
"143","0/1","He was self-deprecating and witty and earned <a>XXXX</a> .","a long ovation","ovation","dobj -> earned"
"144","0/1","<a>XXXX</a> was the final session for the women at Westside Family Church 's Victory Over Porn Addiction group , and the youngest member , a 17-year-old named Kelsie , had not had a good week .","It","It","nsubj -> session"
"145","0/1","If <a>XXXX</a> is to avoid protracted political uncertainty after Thursday 's general election , much may depend on the impact made by David Cameron , the Conservative leader , with a series of lightning raids in the campaign 's last days into the political backyards of his Labour and Liberal Democrat rivals .","Britain","Britain","nsubj -> avoid"
"146","0/1","To some , <a>XXXX</a> may have looked like a practiced , action-movie response to something terrifying and new .","it","it","nsubj -> looked"
"148","0/1","<a>XXXX</a> are hoping April 's showers bring a crop of carrots , or maybe potatoes .","McGlone Elementary School kids","kids","nsubj -> hoping"
"149","0/1","And <a>XXXX</a> very well might -- just not this year .","they","they","nsubj -> might"
"150","0/1","<a>XXXX</a> was the final session for the women at Westside Family Church 's Victory Over Porn Addiction group , and the youngest member , a 17-year-old named Kelsie , had not had a good week .","It","It","nsubj -> session"
"151","0/1","Law enforcement officials offered a more detailed description of the makeup of the failed car bomb found in Times Square on Saturday night , and said they were reviewing surveillance footage that showed a white man who appeared to be in his 40s walking away from the area as he looked over his shoulder and removed <a>XXXX</a> .","a layer of clothing","layer","dobj -> removed"
"152","0/1","President Barack Obama visited Louisiana on Sunday afternoon for a firsthand look at the response effort to an oil spill that he called <a>XXXX</a> , '' while officials for BP , the company liable for the cleanup , described in detail for the first time their desperate efforts to seal the gushing well .","a `` potentially unprecedented environmental disaster","disaster","dobj -> called"
"153","0/1","President Barack Obama visited <a>XXXX</a> on Sunday afternoon for a firsthand look at the response effort to an oil spill that he called a `` potentially unprecedented environmental disaster , '' while officials for BP , the company liable for the cleanup , described in detail for the first time their desperate efforts to seal the gushing well .","Louisiana","Louisiana","dobj -> visited"
"154","0/1","<a>XXXX</a> are reinforcing their rosters with a Caribbean twist .","The Giants and the Jets","Giants","nsubj -> reinforcing"
"155","0/1","To some , <a>XXXX</a> may have looked like a practiced , action-movie response to something terrifying and new .","it","it","nsubj -> looked"
"158","0/1","Viewers of Thai soap operas now have a choice : they can follow the overdramatized acting and weepy plot lines of shows like `` The Glass Around the Diamond '' or <a>XXXX</a> can read pro-government political messages scrolling on the bottom of the television screen .","they","they","nsubj -> read"
"159","0/1","As if <a>XXXX</a> could not get any worse for Utah heading into its own little den of defeat , the Jazz arrived without two starters , forward Andrei Kirilenko and center Mehmet Okur , and unsure about the status of its best one , Deron Williams .","it","it","nsubj -> get"
"160","0/1","<a>XXXX</a> is an image both shocking and strangely serene : 10 beauty queens , each with a broad smile , sparkling earrings and a beautiful gown .","It","It","nsubj -> image"
"162","0/1","<a>XXXX</a> is an image both shocking and strangely serene : 10 beauty queens , each with a broad smile , sparkling earrings and a beautiful gown .","It","It","nsubj -> image"
"164","0/1","For English speakers with subpar Chinese skills , daily life in China offers <a>XXXX</a> .","a confounding array of choices","array","dobj -> offers"
"165","0/1","At banks , there are machines for `` <a>XXXX</a> withdrawing '' and `` cash recycling . ''","cash","cash","nsubj -> withdrawing"
"166","0/1","<a>XXXX</a> might present such delectables as `` fried enema , '' `` monolithic tree mushroom stem squid '' and a mysterious thirst-quencher known as `` The Jew 's Ear Juice . ''","The menus of local restaurants","menus","nsubj -> present"
"167","0/1","<a>XXXX</a> announced Sunday that it had reached agreement on a long-delayed financial rescue package that would require years of painful belt-tightening , but the deal might not be enough to stop the spread of economic contagion to other European countries with mounting debts and troubled economies .","Greece","Greece","nsubj -> announced"
"168","0/1","Law enforcement officials offered a more detailed description of the makeup of the failed car bomb found in Times Square on Saturday night , and said they were reviewing surveillance footage that showed a white man who appeared to be in his 40s walking away from the area as he looked over his shoulder and removed <a>XXXX</a> .","a layer of clothing","layer","dobj -> removed"
"169","0/1","For English speakers with subpar Chinese skills , daily life in China offers <a>XXXX</a> .","a confounding array of choices","array","dobj -> offers"
"170","0/1","At banks , there are machines for `` <a>XXXX</a> withdrawing '' and `` cash recycling . ''","cash","cash","nsubj -> withdrawing"
