"Sent Index","Mention Index/Total","Sentence","Mention","Mention Head","Head POS","Label->Gov"
"41","0/1","In 1872 , at a convention of the New England Labor Reform League in Boston , Heywood introduced Greene and <a>XXXX</a> to eventual Liberty publisher Benjamin Tucker .","Warren","Warren","NNP","dobj -> introduced"
"42","0/1","Bianca Chiminello appeared in January 2009 issue of Sunday Life 's Magazine '' Fresh Crop '' , <a>XXXX</a> are shaping up to be Hollywood 's Next Big Things ... She recently wrapped the lead in an Australian film , Living Between Fu $ ks as '' The Beautiful Financial Backer '' , based on a novel of the same title .","five young Australian actors who","actors","NNS","nsubj -> shaping"
"43","0/1","Both of them stopped seeing each other in 1997 , and <a>XXXX</a> later found out that he had deserted the military and was working for Los Zetas .","his wife","wife","NN","nsubj -> found"
"44","0/1","He wore uniform number 24 in the NL , but when MLB merged <a>XXXX</a> in 2000 , Layne was forced to switch to number 26 , as AL umpire Al Clark , who wore 24 in the junior circuit , had more seniority .","the AL and NL umpiring staffs","AL","NNP","dobj -> merged"
"45","0/1","Beginning in 1894 , <a>XXXX</a> replaced much of the 19th-century music his student Louis Fleury called '' idle twittering '' with works by Johann Sebastian Bach and other composers of the 18th century .","he","he","PRP","nsubj -> replaced"
"46","0/1","In 1888 , <a>XXXX</a> was admitted to Christ 's College , Cambridge , having obtained a scholarship .","he","he","PRP","nsubjpass -> admitted"
"47","0/1","Most had two sons , Michael and <a>XXXX</a> ; Michael died in 2000 .","Steven","Steven","NNP","appos -> sons"
"48","0/1","<a>XXXX</a> enlisted in the Arkansas National Guard in 1929 and was an aircraft mechanic in the 154th Observation Squadron .","He","He","PRP","nsubj -> enlisted"
"50","0/1","After receiving his masters degree in Physics in 1943 , <a>XXXX</a> moved to the Indian Institute of Science , Bangalore for further studies in theoretical physics and worked with Homi J. Bhabha .","he","he","PRP","nsubj -> moved"
"52","0/1","However , an interview in a Hungarian newspaper in January 1914 nearly cost <a>XXXX</a> his job with Hungarian calls for his resignation .","him","him","PRP","iobj -> cost"
"53","0/1","Among these were surgery to remove <a>XXXX</a> embedded in his abdomen from a teenage accident , and a badly injured ankle suffered in 1961 .","sizable wood fragments","fragments","NNS","dobj -> remove"
"55","0/1","In October 1938 he rejoined <a>XXXX</a> as an ethnographer and consultant .","the museum","museum","NN","dobj -> rejoined"
"56","0/1","<a>XXXX</a> signed as an end and center coach for the AAFC 's Buffalo Bills in April of 1947 .","Conkright","Conkright","NN","nsubj -> signed"
"57","0/1","In December 2011 , his third album , Da Rap Star , received <a>XXXX</a> at the UK Asian music awards and PTC Punjabi music awards , including Best Punjabi Album and Best Music Director .","four nominations","nominations","NNS","dobj -> received"
"58","0/1","As a result , the artist left behind more than 1,000 unrealized sculptures when <a>XXXX</a> died in 1996 .","he","he","PRP","nsubj -> died"
"59","0/1","In 1949 McConachie obtained landing rights at the Tokyo and Hong Kong airports that opened <a>XXXX</a> to CPA 's highly successful transpacific service to Australia , Asia and the South Pacific .","the door","door","NN","dobj -> opened"
"60","0/1","On 19 September 2010 , on his blog , Helmer stated of the Roman Catholic Church that : '' <a>XXXX</a> would be perfectly fair to describe it as systemically paedophile . ''","it","it","PRP","nsubj -> describe"
"61","0/1","In 1996 , after arguing a case before the U. S. Supreme Court , Brinkmann and her boss , Acting Solicitor General Walter Dellinger , received a letter from Chief Justice William Rehnquist informing them that brown was not an appropriate color for the skirt suit that she had worn while recently arguing <a>XXXX</a> .","a case before the justices","case","NN","dobj -> arguing"
"62","0/1","In 1882 Bastert had <a>XXXX</a> .","a private studio in The Hague","studio","NN","dobj -> had"
"64","0/1","<a>XXXX</a> made his full professional debut on April 26 , 2011 , in the Revs ' 3 -- 2 victory over D. C. United in the Lamar Hunt US Open Cup .","He","He","PRP","nsubj -> made"
"65","0/1","But <a>XXXX</a> failed to score in the remainder of the 2000 -- 01 season , or in the first five Premier League games of the next -- a run that eventually totalled 17 games .","he","he","PRP","nsubj -> score"
"66","0/1","Torsten Amft -LRB- born 14 January 1971 in Leipzig , <a>XXXX</a> -RRB- is a German fashion designer and artist .","Germany","Germany","NNP","appos -> Leipzig"
"67","0/1","In 1988 , he was appointed <a>XXXX</a> to the Minister of Interior .","Assistant Secretary","Secretary","NNP","dobj -> appointed"
"68","0/1","In 1950 Bellamy became a member of The Lambs , <a>XXXX</a> .","an actors club located in New York","club","NN","appos -> Lambs"
"69","0/1","<a>XXXX</a> died at Portsmouth in April 1941 , aged 47 .","He","He","PRP","nsubj -> died"
"70","0/1","However , on 3 December <a>XXXX</a> announced his immediate retirement from the game , following a recurrence of a serious neck injury sustained in Wasps ' training in late-October .","2011 Thompson","Thompson","NNP","nsubj -> announced"
"71","0/1","He was appointed <a>XXXX</a> in 1947 , Territorial Army .","a Lieutenant-Colonel of the King 's Regiment","Lieutenant-Colonel","NNP","dobj -> appointed"
"73","0/1","<a>XXXX</a> was drafted by the Seattle Mariners in the 34th round -LRB- 1023rd overall -RRB- in the 2004 Major League Baseball Draft , but chose to attend Seminole State College .","He","He","PRP","nsubjpass -> chose"
"74","0/1","He scored <a>XXXX</a> on 1 November 2008 .","Chelsea 's 1,000 th Premier League goal against Sunderland","goal","NN","dobj -> scored"
"75","0/1","<a>XXXX</a> retired from Central Oregon Community College in 1993 .","He","He","PRP","nsubj -> retired"
"76","0/1","After having spent most of her career in Pennsylvania and Ohio , with research years in Afghanistan , Pakistan and Tajikistan , <a>XXXX</a> retired to the Pacific Northwest in June 2012 .","she","she","PRP","nsubj -> retired"
"77","0/1","Smith has recorded a cover of Buddy Holly 's classic '' Words of Love '' for the CD Rave On Buddy Holly , a tribute album tied <a>XXXX</a> was released June 28 , 2011 .","to Holly 's seventy-fifth birthday year which","year","NN","nsubjpass -> released"
"78","0/1","He played <a>XXXX</a> at Chandler-Gilbert Community College in Arizona , where he was twice selected to the All-ACCAC 1st Team , twice selected to the All-West Region I 1st Team and was a 2004 All-American Honorable Mention Selection .","two years of college soccer","years","NNS","dobj -> played"
"79","0/1","In 2006 , he was the most visible lobbyist for three foreign-owned horse-slaughter plants in the U. S. that are fighting legislation that would force <a>XXXX</a> to close .","them","them","PRP","nsubj -> close"
"80","0/1","In 2010 , <a>XXXX</a> was awarded the Johan Cruyff Award for '' Young Player of the Year '' in the Netherlands .","Van der Wiel","Wiel","NNP","nsubjpass -> awarded"
"81","0/1","<a>XXXX</a> then read for the bar , but turned to astronomy and authorship instead , and in 1865 published an article on the Colors of Double Stars in the Cornhill Magazine .","He","He","PRP","nsubj -> read"
"82","0/1","In January 1953 , Sweikert married his high school sweetheart , <a>XXXX</a> , with whom he had recently become reacquainted .","divorcee Dorie with her two children","Dorie","NNP","appos -> sweetheart"
"83","0/1","Hall took over the direction of the company in 1959 - it was renamed the Royal Shakespeare Company -LRB- RSC -RRB- , and <a>XXXX</a> invited Johnson to be part of the first group of actors to be named an Associate Artist of the RSC , a position he retains to this day .","he","he","PRP","nsubj -> invited"
"84","0/1","He won <a>XXXX</a> , and became part of the Burton Alpine Team .","the European Championship 1995 in Finland","Championship","NNP","dobj -> won"
"85","0/1","In 2012 , his friend and Irish musician Rob Smith -LRB- who is also a well-known cul -RRB- wrote and recorded a song in tribute of him called '' Salta Salta -LRB- The Jimmy Jump Song -RRB- '' , which <a>XXXX</a> features a small part of FC Barcelona 's anthem El Cant Del Bara during the outro .","itself","itself","PRP","nsubj -> features"
"86","0/1","Del Ruth directed another half dozen projects before the musical The Desert Song -LRB- 1929 -RRB- , <a>XXXX</a> .","the first color film ever released by Warner Bros.","film","NN","appos -> Song"
"87","0/1","In 1957 <a>XXXX</a> was Guyana 's '' Sportsman of the Year '' with George De Peana .","he","he","PRP","nsubj -> Guyana"
"88","0/1","Murcer was 5th in the league in 1980 with <a>XXXX</a> flies .","9 sacrifice","sacrifice","NN","nsubj -> flies"
"89","0/1","The moral of his own stories , <a>XXXX</a> suggested in 2003 , is that people should regard themselves from a distance and accept even what is not so beautiful about themselves , what is special .","Erlbruch","Erlbruch","NNP","nsubj -> suggested"
"90","0/1","She wrote <a>XXXX</a> .","The Art of Dining , in 1979","Art","NN","dobj -> wrote"
"91","0/1","She also features briefly in the Hylda Baker sitcom Not On Your Nellie -LRB- 1974 -RRB- , in an episode entitled `` The Apartment '' in which <a>XXXX</a> has to stay in the Chelsea flat of a famous model -LRB- Longhurst -RRB- .","Baker 's character","character","NN","nsubj -> has"
"92","0/1","After the initial flurry of goals O'Sullivan 's form deteriorated and coach Susan Ronan eventually left <a>XXXX</a> out of a squad in 2012 .","her","her","PRP","dobj -> left"
"93","0/1","<a>XXXX</a> won the Ernst & Young Entrepreneur of the Year Award in 2008 .","Avrich","Avrich","NNP","nsubj -> won"
"94","0/1","<a>XXXX</a> held that position until 1867 .","He","He","PRP","nsubj -> held"
"95","0/1","In 1982 <a>XXXX</a> served as Deputy Rector of United Nations University in Tokyo , Japan .","he","he","PRP","nsubj -> served"
"96","0/1","After she graduated in 1986 , <a>XXXX</a> considered attending graduate school and perhaps working in languages for the U. S. State Department .","she","she","PRP","nsubj -> considered"
"97","0/1","In July 1945 , <a>XXXX</a> became Provost Marshal General and transitioned an agency whose lifespan rarely exceeded beyond the end of combat hostilities into a post-war organization with charge over Army military investigations , the military police and the Army 's military police school .","Bryan","Bryan","NNP","nsubj -> became"
"98","0/1","On April 2 , 2008 , <a>XXXX</a> was elected to the Canadian Football Hall of Fame in his first year of eligibility .","Flutie","Flutie","NNP","nsubjpass -> elected"
"99","0/1","In October 2009 , <a>XXXX</a> voted to name Murphy and the rest of the Five Canada 's first '' honorary senators . ''","the Senate","Senate","NNP","nsubj -> voted"
"100","0/1","Camiroaga was hired by Televisin Nacional de Chile <a>XXXX</a> in 1992 to co-host Buenos Das a Todos with Tati Penna , a breakfast programme first transmitted that year ; however , the couple were later replaced by Margot Kahl and Jorge Hevia .","-LRB- TVN -RRB-","TVN","NNP","appos -> Chile"
"101","0/1","<a>XXXX</a> is the younger paternal half-brother of the former leader of North Korea , Kim Jong-il , and the son of former leader Kim Il-sung .","Kim Pyong-il -LRB- born 10 August 1954 -RRB-","Pyong-il","NNP","nsubj -> half-brother"
"102","0/1","In 1995 Papetti met the writer and <a>XXXX</a> who wrote a significant critical essay on his work .","biographer James Lord","Lord","NNP","dobj -> met"
"103","0/1","During summer and autumn 2012 , <a>XXXX</a> featured at numerous food festivals around the UK and Ireland including Cardiff , Dublin , Manchester , Liverpool , Abergavenny , Ludlow , Bolton , Edinburgh , Newcastle , Cockermouth , Newport and York .","he","he","PRP","nsubj -> featured"
"104","0/1","On July 25 , 2012 , <a>XXXX</a> released Duckworth .","the Boston Red Sox","Sox","NNP","nsubj -> released"
"105","0/1","<a>XXXX</a> was very active in the 1968 student strike .","He","He","PRP","nsubj -> active"
"106","0/1","At the age of 16 , Garrel wrote and directed <a>XXXX</a> in 1964 .","his first film , Les Enfants Dsaccords ,","film","NN","dobj -> directed"
"107","0/1","In November 1927 , <a>XXXX</a> was posted with the regiment to Egypt , with his battalion being stationed at Mustapha Barracks on the outskirts of the city of Alexandria .","Poett","Poett","NNP","nsubjpass -> posted"
"108","0/1","During her senior year in 2012 , she led the Buckeyes with 21 goals , breaking <a>XXXX</a> .","the previous school record of 13","record","NN","dobj -> breaking"
"109","0/1","<a>XXXX</a> was the running mate of Dwight D. Eisenhower , the Republican Party presidential nominee in the 1952 election .","He","He","PRP","nsubj -> mate"
"110","0/1","In his three years as a member of the Dsseldorf ensemble -LRB- 1981 -- 84 -RRB- , he honed his stage experience with a number of smaller roles , but also had <a>XXXX</a> , both in Dsseldorf and elsewhere .","bigger assignments","assignments","NNS","dobj -> had"
"111","0/1","In April 2011 , <a>XXXX</a> broke away from his focus on Christian media with his book Jolt !","Cooke","Cooke","NNP","nsubj -> broke"
"112","0/1","In July 2006 , Romero broke into the top 100 of the Official World Golf Rankings for the first time and <a>XXXX</a> reached a new best of 29th after his Players Championship of Europe win .","he","he","PRP","nsubj -> reached"
"113","0/1","In 1982 <a>XXXX</a> published a memoir Inside the Treasury -LRB- Andre Deutsch -RRB- .","he","he","PRP","nsubj -> published"
"114","0/1","On his return to international development in 1993 , <a>XXXX</a> served as Under Secretary for Asia , and then as Finance Director .","Sir John","John","NNP","nsubj -> served"
"115","0/1","In 1894 , <a>XXXX</a> became a motorman and driver for a local street car company .","he","he","PRP","nsubj -> became"
"116","0/1","<a>XXXX</a> was a 1991 Second Team All American .","He","He","PRP","nsubj -> Team"
"117","0/1","<a>XXXX</a> was reelected again in 1997 with 66 % of the vote .","He","He","PRP","nsubjpass -> reelected"
"118","0/1","In 1967 , his successes continued after the collapse of Red Bird when his production of Janis Ian 's , '' At Seventeen '' '' <a>XXXX</a> , became a hit record .","Society 's Child ''","Child","NNP","appos -> production"
"119","0/1","Although Pollard came back for the 2000 season , even going on loan with the Tennessee Rhythm in the USL A-League for one game and the Texas Rattlers for three games , he never regained <a>XXXX</a> .","the form he had prior to the injury","form","NN","dobj -> regained"
"120","0/1","Taylor was also a catalyst in Harry Nilsson 's musical career ; hearing Nilsson 's song '' 1941 '' on a car radio , <a>XXXX</a> bought a case -LRB- twenty-five copies -RRB- of his album Pandemonium Shadow Show , sending copies to different industry people -- including all four Beatles , who became enamored of his talent and invited Nilsson to London .","he","he","PRP","nsubj -> bought"
"121","0/1","On August 10 , 2012 , it was announced that McComb joined <a>XXXX</a> as writer , reuniting with his Planescape cohorts once again .","Wasteland 2 team","team","NN","dobj -> joined"
"122","0/1","<a>XXXX</a> scored four times against Macclesfield Town on 30 August 2008 .","He","He","PRP","nsubj -> scored"
"123","0/1","She represented <a>XXXX</a> at senior level at the 2006 European Athletics Championships and finished eighth overall .","her country","country","NN","dobj -> represented"
"124","0/1","He enlisted in the U. S. Marine Corps at the age of 17 , on March 16 , 1981 , and underwent recruit <a>XXXX</a> , 2nd Recruit Training Battalion Parris Island .","training at Delta Company","training","NN","dobj -> recruit"
"125","0/1","`` <a>XXXX</a> have long considered Otto Rank to be the great unacknowledged genius in Freud 's circle , '' said May -LRB- Rank , 1996 , p. xi -RRB- .","I","I","PRP","nsubj -> considered"
"126","0/1","Patterson lost his life aboard the Squalus on May 23 , 1939 when <a>XXXX</a> failed to close off of the Isles of Shoals .","the main induction valve","valve","NN","nsubj -> failed"
"127","0/1","<a>XXXX</a> was elected for induction into the National Soccer Hall of Fame in 2009 .","He","He","PRP","nsubjpass -> elected"
"128","0/1","After a shoulder injury in 2010 prevented him from playing , <a>XXXX</a> spent some time coaching his former club Les Quennevais R. F. C. = = Employment = = Landick started working at Jersey Airport whilst playing rugby for Jersey .","he","he","PRP","nsubj -> spent"
"129","0/1","<a>XXXX</a> died in Sofia on February 10 , 1922 .","He","He","PRP","nsubj -> died"
"131","0/1","He was indicted in Seattle in 1972 for numerous bank robberies throughout the country to finance radical leftist underground Weatherman activities , receiving <a>XXXX</a> and becoming the first Weatherman member imprisoned in the United States .","a ten year federal prison term for conspiracy","term","NN","dobj -> receiving"
"132","0/1","In 1937 , Takata started <a>XXXX</a> .","a mimeographed newsletter for Japanese expatriates in Paris","newsletter","NN","dobj -> started"
"133","0/1","jpg | Throw out the Baby Along with the Bath , 1994 <br> Oil on canvas <br> Israel Museum , <a>XXXX</a> : Michal Na'aman , Nosebleeds , 1994 , .","Jerusalem File","File","NNP","appos -> Bath"
"134","0/1","In 1950 , <a>XXXX</a> became the object of an ideological battle , his artistic work denounced by Adam Wayk at the Reunion of Polish Writers as petit-bourgeois .","he","he","PRP","nsubj -> became"
"135","0/1","Upon promotion to major , <a>XXXX</a> was transferred to the Eastern Front in the summer of 1916 .","Leeb","Leeb","NNP","nsubjpass -> transferred"
"136","0/1","After his senior season , <a>XXXX</a> moved on to Purdue University where he redshirted in 2009 .","he","he","PRP","nsubj -> moved"
"137","0/1","On December 20 , 1981 -LRB- see Martial Law in Poland -RRB- , <a>XXXX</a> was beaten up by the Communist police .","Brylewski","Brylewski","NNP","nsubjpass -> beaten"
"138","0/1","He remained with Harc-Pro in 2012 but changed classes and entered the J-GP2 class aboard a Honda HP6 , <a>XXXX</a> won 5 of the 6 races during the season and the championship despite not competing in the Okayama round due to injuries sustained when he was substituting at the Motegi Moto2 World Championship round for the Italtrans Racing Team .","Nakagami","Nakagami","NNP","nsubj -> won"
"139","0/1","However , <a>XXXX</a> did score in a 4-2 loss to Mexico in the last qualification game on August 28 , 1975 .","Pires","Pires","NNP","nsubj -> score"
"140","0/1","In 1998 , <a>XXXX</a> graduated Magna Cum Laude with a Bachelor of Arts degree in Music , and later went on to complete her Master 's degree in Jazz Pedagogy and Performance from the University of Colorado at Boulder .","she","she","PRP","nsubj -> went"
"141","0/1","# Hill , <a>XXXX</a> .","R. T. 1908","T.","NNP","appos -> Hill"
"142","0/1","However , in the 1952 General Election , <a>XXXX</a> ran for a seat lower house of the Diet of Japan , but was not elected .","he","he","PRP","nsubjpass -> elected"
"143","0/1","<a>XXXX</a> continued to be too emotionally unstable to work and in 1957 , her contract with the Rank Organisation was canceled .","Bates","Bates","NNP","nsubj -> work"
"144","0/1","The young talent was called by Egyptian national team 's manager , <a>XXXX</a> , for his first international appearance in 2007 .","Hassan Shehata","Shehata","NNP","appos -> manager"
"145","0/1","In 2010 , <a>XXXX</a> guest-hosted the fourth episode of the 24th series of Never Mind the Buzzcocks .","he","he","PRP","nsubj -> guest-hosted"
"146","0/1","<a>XXXX</a> was elected at the 2007 general election .","He","He","PRP","nsubjpass -> elected"
"147","0/1","Records and issued his first , self-titled album in the spring of 1993 , which subsequently earned <a>XXXX</a> .","Redman his first Grammy nomination","nomination","NN","dobj -> earned"
"148","0/1","Late in 1897 <a>XXXX</a> hand-pulled the photogravures for a first portfolio of his own work , Picturesque Bits of New York and Other Studies .","he","he","PRP","nsubj -> hand-pulled"
"149","0/1","In 1922 she made <a>XXXX</a> called '' a personal triumph '' in Alfred Sutro 's comedy The Laughing Lady .","what J T Grein in The Illustrated London News","Grein","NN","nsubj -> called"
"150","0/1","Parks became an avid enthusiast of air travel , using <a>XXXX</a> to inspect much of the territory in May and June 1929 .","it","it","PRP","dobj -> using"
"151","0/1","On 22 October 2009 , <a>XXXX</a> extended his stay at Northampton until the new year .","he","he","PRP","nsubj -> extended"
"152","0/1","In 2012 , <a>XXXX</a> was named the MLL Offensive Player of the Year for the third time , tying the league record for most season-ending awards by a player .","Rabil","Rabil","NNP","nsubjpass -> named"
"153","0/1","Then , in 1993 , <a>XXXX</a> moved to Dublin and studied for a Masters ' degree in journalism , after which he worked as a teacher and press secretary .","he","he","PRP","nsubj -> moved"
"154","0/1","On April 13 , 2011 , he recorded <a>XXXX</a> , with a solo home run off Randy Choate .","his 1500th RBI against the Florida Marlins","RBI","NN","dobj -> recorded"
"155","0/1","As such , following the death of Friedrich Ebert in February , 1925 he temporarily acted as head of state of the Weimar Republic from 12 March 1925 until 12 May 1925 when <a>XXXX</a> assumed office .","the next president , Paul von Hindenburg ,","president","NN","nsubj -> assumed"
"156","0/1","On 2 May 2005 , Police Commissioner Andrew Hughes announced that <a>XXXX</a> had volunteered to make a statement about his own role in Mara 's resignation .","Bainimarama","Bainimarama","NNP","nsubj -> make"
"157","0/1","He would not score again until 15 March 1918 , when he drove <a>XXXX</a> down out of control north of Bourlon Wood .","an Albatros D. V","V","NNP","dobj -> drove"
"160","0/1","She released <a>XXXX</a> Self Made '' and '' Fakin ' It '' in 2009 in hopes of garnering attention from the public eye .","the buzz singles ''","singles","NNS","nsubjpass -> Made"
"161","0/1","In 1997 , Montenegro 's string of critical and audience triumphs came to an abrupt halt as her portrayal of the lead role in the telenovela '' Zaz '' , <a>XXXX</a> , could n't live up to either reviewers ' or the viewing public 's expectations .","a much anticipated return to comedy","return","NN","dobj -> came"
"162","0/1","<a>XXXX</a> replaced Billy Gillispie , who resigned from Texas Tech on September 20 , 2012 and Chris Walker , who served as the interim coach following Gillispie 's resignation .","He","He","PRP","nsubj -> replaced"
"163","0/1","<a>XXXX</a> was the top league scorer in 1990 -- 91 , with 41 goals in 50 games .","Lubina","Lubina","NNP","nsubj -> scorer"
"165","0/1","<a>XXXX</a> got off to a good start in 1934 , but a fractured kneecap ended his season , and his career wound down after that .","Hauser","Hauser","NNP","nsubj -> got"
"166","0/1","In 1938 , <a>XXXX</a> married Dorothy Dean St. Clair .","he","he","PRP","nsubj -> married"
"167","0/1","<a>XXXX</a> graduated from the municipal high school in 1866 , and at the end of that year passed the entrance exam to enroll in the University of Bologna to study jurisprudence .","He","He","PRP","nsubj -> graduated"
"168","0/1","<a>XXXX</a> made 16 appearances for Ipswich , and re-signed for the club on loan for the rest of the season on 31 January 2013 .","He","He","PRP","nsubj -> re-signed"
"169","0/1","The 2007 -- 08 season saw Boyd score his 50th and 51st goals in all competitions for Rangers in a League Cup match against East Fife on 26 September 2007 , <a>XXXX</a> .","627 days after his debut","days","NNS","dobj -> score"
